id;name;light;number;address;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry;datetime
131;Guzmán el Bueno;2;123;Calle Guzmán el Bueno nº 2;1;0;24;9;12;0;{'type': 'Point', 'coordinates': [-3.7133412, 40.4306458]};2020-12-08T20:15:09.899130
169;Manuel Silvela;1;124;Calle Manuel Silvela nº 20;1;0;24;19;5;0;{'type': 'Point', 'coordinates': [-3.6993465, 40.4309524]};2020-12-08T20:15:09.899130
164;General Martínez Campos ;0;125;Calle Fernández de la Hoz nº 29;1;0;24;6;14;1;{'type': 'Point', 'coordinates': [-3.6948626, 40.435285]};2020-12-08T20:15:09.899130
163;General Álvarez de Castro;2;126;Calle del General Álvarez de Castro nº 2;1;0;24;13;9;0;{'type': 'Point', 'coordinates': [-3.7015686, 40.4344731]};2020-12-08T20:15:09.899130
168;Fernando el Católico;2;127;Calle Fernando el Católico nº 19;1;0;24;8;15;1;{'type': 'Point', 'coordinates': [-3.708439, 40.4338516]};2020-12-08T20:15:09.899130
160;Cea Bermúdez;2;128;Calle Cea Bermúdez nº 59;1;0;27;10;15;0;{'type': 'Point', 'coordinates': [-3.7154329, 40.438994]};2020-12-08T20:15:09.899130
161;José Abascal;2;129;Calle José Abascal nº 33;1;0;24;11;12;1;{'type': 'Point', 'coordinates': [-3.6982353, 40.4383865]};2020-12-08T20:15:09.899130
157;Santa Engracia 127;0;130;Calle Santa Engracia nº 127;1;0;20;2;17;0;{'type': 'Point', 'coordinates': [-3.70164, 40.44156]};2020-12-08T20:15:09.899130
156;Bravo Murillo 44;0;131;Calle Bravo Murillo nº 44;1;0;24;2;21;0;{'type': 'Point', 'coordinates': [-3.7040344, 40.4418402]};2020-12-08T20:15:09.899130
149;Glorieta de los Cuatro Caminos;0;132;Calle Santa Engracia nº 168;1;0;24;6;15;0;{'type': 'Point', 'coordinates': [-3.7036675, 40.4463667]};2020-12-08T20:15:09.899130
150;Raimundo Fernández;0;133;Calle Raimundo Fernández Villaverde nº 33-35;1;0;24;1;23;0;{'type': 'Point', 'coordinates': [-3.7001669, 40.447125]};2020-12-08T20:15:09.899130
153;Agustín de Betancourt;2;134;Calle María de Guzmán nº 58;1;0;24;8;15;0;{'type': 'Point', 'coordinates': [-3.6956047, 40.4440297]};2020-12-08T20:15:09.899130
158;Plaza de San Juan de la Cruz;0;135;Plaza de San Juan de la Cruz nº 11;1;0;24;4;19;0;{'type': 'Point', 'coordinates': [-3.6927821, 40.4415974]};2020-12-08T20:15:09.899130
151;Castellana 106;1;136;Paseo de la Castellana nº 106;1;0;24;21;3;0;{'type': 'Point', 'coordinates': [-3.690861, 40.4453307]};2020-12-08T20:15:09.899130
152;Plaza de la República Argentina;2;137;Plaza de la República Argentina nº 6-7;1;0;24;16;7;0;{'type': 'Point', 'coordinates': [-3.6853312, 40.445411]};2020-12-08T20:15:09.899130
154;Paseo de la Castellana con Raimundo Fernández;2;138;Paseo de la Castellana nº 67;1;0;24;10;11;0;{'type': 'Point', 'coordinates': [-3.6917932, 40.4457414]};2020-12-08T20:15:09.899130
159;José Gutiérrez Abascal ;2;139;Calle José Gutiérrez Abascal nº 2;1;0;24;13;11;0;{'type': 'Point', 'coordinates': [-3.6907784, 40.4396792]};2020-12-08T20:15:09.899130
162;Velázquez 130;1;140;Calle Velázquez nº 130;1;0;27;19;8;0;{'type': 'Point', 'coordinates': [-3.6831578, 40.4385127]};2020-12-08T20:15:09.899130
165;Pº Castellana - Glorieta de Emilio Castelar;0;141;Paseo de la Castellana nº 43;1;0;12;0;11;0;{'type': 'Point', 'coordinates': [-3.6892368, 40.4355143]};2020-12-08T20:15:09.899130
